StationID,WmoCode,StationNameThai,StationNameEnglish,StationType,ZipCode,Latitude,Longitude,HeightAboveMSL,HeightofWindWane,HeightofBarometer,HeightofThermometer,province_id
7302001301,48451,นครปฐม,NAKHONPATHOM,สถานีอุตุนิยมวิทยา(เกษตร),73140,14.011666666667,99.97,7.46,11.00,9.65,1.20,PROV59
7601001201,48465,เพชรบุรี,PHETCHA BURI,สถานีอุตุนิยมวิทยา,76100,12.999444444444,100.06055555556,2.01,10.50,3.77,1.40,PROV62
7701001201,48500,ประจวบคีรีขันธ์,PRACHUAP KHIRIKHAN,สถานีอุตุนิยมวิทยา,77000,11.833333333333,99.833333333333,4.00,11.70,5.90,1.20,PROV63
7707001201,48475,หัวหิน,HUA HIN,สถานีอุตุนิยมวิทยา,77110,12.586111111111,99.9625,4.73,14.00,6.23,1.50,PROV63
7707001301,48474,หนองพลับ สกษ.,NONG PHLUB AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),77110,12.583333333333,99.733333333333,106.00,10.50,107.75,1.20,PROV63
8001001201,48552,นครศรีธรรมราช,NAKHONSI THAMMARAT,สถานีอุตุนิยมวิทยา,80000,8.5377777777778,99.963888888889,3.14,14.50,5.54,1.25,PROV64
8004001401,48557,ฉวาง,CHAWANG,สถานีอุตุนิยมวิทยา(อุทก),80150,8.4319444444444,99.511944444444,28.12,12.00,30.37,1.25,PROV64
8015001201,48553,ขนอม,KHANOM,สถานีอุตุนิยมวิทยา,11111,9.2430555555556,99.8575,5.00,1.00,1.00,1.00,PROV64
8015001301,48554,นครศรีธรรมราช สกษ.,NAKHONSI THAMMARAT AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),80330,8.3593055555556,100,1.81,10.80,3.02,.90,PROV64
8101001201,48563,กระบี่,KRABI,สถานีอุตุนิยมวิทยา,{},8.1036111111111,98.975277777778,8.00,{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},PROV65
8103001201,48566,เกาะลันตา,KO LANTA,สถานีอุตุนิยมวิทยา,81150,7.5333333333333,99.05,2.00,1.00,5.50,1.80,PROV65
8205001201,48561,ตะกั่วป่า,TAKUA PA,สถานีอุตุนิยมวิทยา,82190,8.6841666666667,98.252222222222,5.93,11.00,7.72,1.20,PROV66
8301001201,48564,ภูเก็ต,PHUKET,สถานีอุตุนิยมวิทยา,83000,7.8833333333333,98.4,1.83,10.00,3.80,1.20,PROV67
8303001501,48565,ภูเก็ต (ศูนย์ฯ),PHUKET AIRPORT,ศูนย์อุตุนิยมวิทยา,83110,8.145,98.314444444444,5.86,10.15,8.66,1.20,PROV67
8401001201,{},สถานีตรวจอากาศสุราษฎร์ธานี,SURAT THANI AIRPORT,สถานีอุตุนิยมวิทยา,{},9.1355555555556,99.151944444444,5.00,{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},PROV68
8402001301,48555,สุราษฎร์ธานี สกษ.,SURAT THANI AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),84160,9.1,99.633333333333,36.80,11.50,36.80,1.25,PROV68
8404001201,48550,เกาะสมุย,KO SAMUI,สถานีอุตุนิยมวิทยา,84310,9.4666666666667,100.05,4.00,12.25,5.00,1.25,PROV68
8416001401,48556,พระแสง สอท.,PHRA SANG,สถานีอุตุนิยมวิทยา(อุทก),84210,8.5702222222222,99.25825,12.08,12.00,14.05,1.50,PROV68
8417001201,48551,สุราษฎร์ธานี,SURAT THANI,สถานีอุตุนิยมวิทยา,84130,9.1355555555556,99.151944444444,5.00,10.00,6.95,1.25,PROV68
8501001201,48532,ระนอง,RANONG,สถานีอุตุนิยมวิทยา,85000,9.9833333333333,98.616666666667,7.00,10.50,7.99,1.25,PROV69
8601001201,48517,ชุมพร,CHUMPHON,สถานีอุตุนิยมวิทยา,86000,10.49875,99.188472222222,4.40,11.90,5.95,1.20,PROV70
8607001301,48520,สวี สกษ.,SAWI AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),86130,10.333333333333,99.1,13.00,10.00,13.33,1.25,PROV70
9001001501,48568,สงขลา,SONGKHLA,ศูนย์อุตุนิยมวิทยา,90000,7.1821111111111,100.60769444444,4.57,18.00,6.56,1.30,PROV71
9010001401,48574,สะเดา,SA DAO,สถานีอุตุนิยมวิทยา(อุทก),90170,6.7980555555556,100.39055555556,24.70,10.00,25.50,1.25,PROV71
9011001202,48569,หาดใหญ่,HAT YAI AIRPORT,สถานีอุตุนิยมวิทยา,90115,6.9166666666667,100.43333333333,27.40,10.00,34.93,1.25,PROV71
9011001301,48571,คอหงษ์ สกษ.,KHO HONG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),90110,7,100.5,6.96,10.80,9.73,1.25,PROV71
9101001201,48570,สตูล,SATUN,สถานีอุตุนิยมวิทยา,91000,6.65,100.08333333333,4.06,11.20,5.96,1.20,PROV72
9201001201,48567,ตรัง,TRANG AIRPORT,สถานีอุตุนิยมวิทยา,92000,7.5166666666667,99.616666666667,14.32,12.00,15.83,1.28,PROV73
9301001301,48560,พัทลุง สกษ.,PHATTHALUNG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),93000,7.5833333333333,100.16666666667,2.00,11.00,4.15,1.25,PROV74
9403001201,48580,ปัตตานี,PATTANI AIRPORT,สถานีอุตุนิยมวิทยา,94170,6.7833333333333,101.15,4.05,10.80,6.01,1.20,PROV75
9501001301,48581,ยะลา สกษ.,YALA AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),95000,6.5166666666667,101.28333333333,30.00,11.00,36.04,1.25,PROV76
9601001201,48583,นราธิวาส,NARATHIWAT,สถานีอุตุนิยมวิทยา,96000,6.4166666666667,101.81666666667,3.57,12.25,5.13,1.20,PROV77
